"Date","Time","Test Total Time",,
"01/18/25","12:04:47","(hh:mm:ss): 1:45:57",,
,,,,
"Rated Capacity","Tested Capacity","PASS",,,
"18.00 Ah","13.24 Ah",,,
,,,,
"Cells","Battery Type","Battery Weight",,
"6","Lead Acid","0.000 lbs",,
"Battery Age","Battery Manufacturer","Battery Notes",,
"1.000 mo","","",,
,,,,
"Sample Rate",,,,
"1.000",,,,
,,,,
"Test Current","Graph Type",,,
"7.500 Amps","AmpHrs",,,
,,,,
"Test","Time (s)","Voltage (V)","Current","Temp (F)"
"Battery_Y","346.000","12.442","7.500","999.90"
"Battery_Y","347.000","12.438","7.500","999.90"
"Battery_Y","348.000","12.442","7.500","999.90"
"Battery_Y","349.000","12.442","7.500","999.90"
"Battery_Y","350.000","12.442","7.500","999.90"
"Battery_Y","351.000","12.442","7.500","999.90"
"Battery_Y","352.000","12.442","7.500","999.90"
"Battery_Y","353.000","12.442","7.500","999.90"
"Battery_Y","354.000","12.442","7.500","999.90"
"Battery_Y","355.000","12.442","7.500","999.90"
"Battery_Y","356.000","12.442","7.500","999.90"
"Battery_Y","357.000","12.442","7.500","999.90"
"Battery_Y","358.000","12.446","7.500","999.90"
"Battery_Y","359.000","12.446","7.500","999.90"
"Battery_Y","360.000","12.446","7.500","999.90"
"Battery_Y","361.000","12.446","7.500","999.90"
"Battery_Y","362.000","12.442","7.500","999.90"
"Battery_Y","363.000","12.442","7.500","999.90"
"Battery_Y","364.000","12.446","7.500","999.90"
"Battery_Y","365.000","12.446","7.500","999.90"
"Battery_Y","366.000","12.446","7.500","999.90"
"Battery_Y","367.000","12.446","7.500","999.90"
"Battery_Y","368.000","12.446","7.500","999.90"
"Battery_Y","369.000","12.446","7.500","999.90"
"Battery_Y","370.000","12.438","7.500","999.90"
"Battery_Y","371.000","12.442","7.500","999.90"
"Battery_Y","372.000","12.446","7.500","999.90"
"Battery_Y","373.000","12.446","7.500","999.90"
"Battery_Y","374.000","12.446","7.500","999.90"
"Battery_Y","375.000","12.446","7.500","999.90"
"Battery_Y","376.000","12.446","7.500","999.90"
"Battery_Y","377.000","12.446","7.500","999.90"
"Battery_Y","378.000","12.446","7.500","999.90"
"Battery_Y","379.000","12.446","7.500","999.90"
"Battery_Y","380.000","12.446","7.500","999.90"
"Battery_Y","381.000","12.446","7.500","999.90"
"Battery_Y","382.000","12.446","7.500","999.90"
"Battery_Y","383.000","12.446","7.500","999.90"
"Battery_Y","384.000","12.446","7.500","999.90"
"Battery_Y","385.000","12.446","7.500","999.90"
"Battery_Y","386.000","12.446","7.500","999.90"
"Battery_Y","387.000","12.446","7.500","999.90"
"Battery_Y","388.000","12.446","7.500","999.90"
"Battery_Y","389.000","12.446","7.500","999.90"
"Battery_Y","390.000","12.446","7.500","999.90"
"Battery_Y","391.000","12.446","7.500","999.90"
"Battery_Y","392.000","12.446","7.500","999.90"
"Battery_Y","393.000","12.446","7.500","999.90"
"Battery_Y","394.000","12.446","7.500","999.90"
"Battery_Y","395.000","12.446","7.500","999.90"
"Battery_Y","396.000","12.446","7.500","999.90"
"Battery_Y","397.000","12.446","7.500","999.90"
"Battery_Y","398.000","12.446","7.500","999.90"
"Battery_Y","399.000","12.446","7.500","999.90"
"Battery_Y","400.000","12.446","7.500","999.90"
"Battery_Y","401.000","12.446","7.500","999.90"
"Battery_Y","402.000","12.446","7.500","999.90"
"Battery_Y","403.000","12.446","7.500","999.90"
"Battery_Y","404.000","12.446","7.500","999.90"
"Battery_Y","405.000","12.446","7.500","999.90"
"Battery_Y","406.000","12.446","7.500","999.90"
"Battery_Y","407.000","12.446","7.500","999.90"
"Battery_Y","408.000","12.446","7.500","999.90"
"Battery_Y","409.000","12.446","7.500","999.90"
"Battery_Y","410.000","12.446","7.500","999.90"
"Battery_Y","411.000","12.446","7.500","999.90"
"Battery_Y","412.000","12.446","7.500","999.90"
"Battery_Y","413.000","12.446","7.500","999.90"
"Battery_Y","414.000","12.446","7.500","999.90"
"Battery_Y","415.000","12.446","7.500","999.90"
"Battery_Y","416.000","12.446","7.500","999.90"
"Battery_Y","417.000","12.446","7.500","999.90"
"Battery_Y","418.000","12.446","7.500","999.90"
"Battery_Y","419.000","12.446","7.500","999.90"
"Battery_Y","420.000","12.446","7.500","999.90"
"Battery_Y","421.000","12.446","7.500","999.90"
"Battery_Y","422.000","12.446","7.500","999.90"
"Battery_Y","423.000","12.446","7.500","999.90"
"Battery_Y","424.000","12.446","7.500","999.90"
"Battery_Y","425.000","12.446","7.500","999.90"
"Battery_Y","426.000","12.446","7.500","999.90"
"Battery_Y","427.000","12.446","7.500","999.90"
"Battery_Y","428.000","12.446","7.500","999.90"
"Battery_Y","429.000","12.446","7.500","999.90"
"Battery_Y","430.000","12.446","7.500","999.90"
"Battery_Y","431.000","12.446","7.500","999.90"
"Battery_Y","432.000","12.446","7.500","999.90"
"Battery_Y","433.000","12.446","7.500","999.90"
"Battery_Y","434.000","12.446","7.500","999.90"
"Battery_Y","435.000","12.446","7.500","999.90"
"Battery_Y","436.000","12.446","7.500","999.90"
"Battery_Y","437.000","12.446","7.500","999.90"
"Battery_Y","438.000","12.446","7.500","999.90"
"Battery_Y","439.000","12.446","7.500","999.90"
"Battery_Y","440.000","12.446","7.500","999.90"
"Battery_Y","441.000","12.446","7.500","999.90"
"Battery_Y","442.000","12.446","7.500","999.90"
"Battery_Y","443.000","12.446","7.500","999.90"
"Battery_Y","444.000","12.446","7.500","999.90"
"Battery_Y","445.000","12.446","7.500","999.90"
"Battery_Y","446.000","12.446","7.500","999.90"
"Battery_Y","447.000","12.446","7.500","999.90"
"Battery_Y","448.000","12.446","7.500","999.90"
"Battery_Y","449.000","12.446","7.500","999.90"
"Battery_Y","450.000","12.446","7.500","999.90"
"Battery_Y","451.000","12.446","7.500","999.90"
"Battery_Y","452.000","12.446","7.500","999.90"
"Battery_Y","453.000","12.446","7.500","999.90"
"Battery_Y","454.000","12.446","7.500","999.90"
"Battery_Y","455.000","12.446","7.500","999.90"
"Battery_Y","456.000","12.446","7.500","999.90"
"Battery_Y","457.000","12.446","7.500","999.90"
"Battery_Y","458.000","12.446","7.500","999.90"
"Battery_Y","459.000","12.446","7.500","999.90"
"Battery_Y","460.000","12.446","7.500","999.90"
"Battery_Y","461.000","12.446","7.500","999.90"
"Battery_Y","462.000","12.446","7.500","999.90"
"Battery_Y","463.000","12.446","7.500","999.90"
"Battery_Y","464.000","12.446","7.500","999.90"
"Battery_Y","465.000","12.446","7.500","999.90"
"Battery_Y","466.000","12.446","7.500","999.90"
"Battery_Y","467.000","12.446","7.500","999.90"
"Battery_Y","468.000","12.446","7.500","999.90"
"Battery_Y","469.000","12.446","7.500","999.90"
"Battery_Y","470.000","12.446","7.500","999.90"
"Battery_Y","471.000","12.446","7.500","999.90"
"Battery_Y","472.000","12.446","7.500","999.90"
"Battery_Y","473.000","12.446","7.500","999.90"
"Battery_Y","474.000","12.446","7.500","999.90"
"Battery_Y","475.000","12.446","7.500","999.90"
"Battery_Y","476.000","12.446","7.500","999.90"
"Battery_Y","477.000","12.446","7.500","999.90"
"Battery_Y","478.000","12.446","7.500","999.90"
"Battery_Y","479.000","12.446","7.500","999.90"
"Battery_Y","480.000","12.446","7.500","999.90"
"Battery_Y","481.000","12.446","7.500","999.90"
"Battery_Y","482.000","12.446","7.500","999.90"
"Battery_Y","483.000","12.446","7.500","999.90"
"Battery_Y","484.000","12.446","7.500","999.90"
"Battery_Y","485.000","12.446","7.500","999.90"
"Battery_Y","486.000","12.446","7.500","999.90"
"Battery_Y","487.000","12.446","7.500","999.90"
"Battery_Y","488.000","12.446","7.500","999.90"
"Battery_Y","489.000","12.446","7.500","999.90"
"Battery_Y","490.000","12.446","7.500","999.90"
"Battery_Y","491.000","12.446","7.500","999.90"
"Battery_Y","492.000","12.446","7.500","999.90"
"Battery_Y","493.000","12.446","7.500","999.90"
"Battery_Y","494.000","12.446","7.500","999.90"
"Battery_Y","495.000","12.446","7.500","999.90"
"Battery_Y","496.000","12.446","7.500","999.90"
"Battery_Y","497.000","12.446","7.500","999.90"
"Battery_Y","498.000","12.446","7.500","999.90"
"Battery_Y","499.000","12.446","7.500","999.90"
"Battery_Y","500.000","12.446","7.500","999.90"
"Battery_Y","501.000","12.446","7.500","999.90"
"Battery_Y","502.000","12.446","7.500","999.90"
"Battery_Y","503.000","12.446","7.500","999.90"
"Battery_Y","504.000","12.446","7.500","999.90"
"Battery_Y","505.000","12.446","7.500","999.90"
"Battery_Y","506.000","12.446","7.500","999.90"
"Battery_Y","507.000","12.446","7.500","999.90"
"Battery_Y","508.000","12.446","7.500","999.90"
"Battery_Y","509.000","12.446","7.500","999.90"
"Battery_Y","510.000","12.446","7.500","999.90"
"Battery_Y","511.000","12.446","7.500","999.90"
"Battery_Y","512.000","12.446","7.500","999.90"
"Battery_Y","513.000","12.446","7.500","999.90"
"Battery_Y","514.000","12.446","7.500","999.90"
